id,catalogue_id,gaussian_id,source_id,tile_id,sbid,obs_start_time,n_gaus,ra,dec,e_ra,e_dec,total_flux_gaussian,e_total_flux_gaussian_pybdsf,e_total_flux_gaussian,total_flux_source,e_total_flux_source_pybdsf,e_total_flux_source,peak_flux,e_peak_flux,maj,e_maj,min,e_min,pa,e_pa,dc_maj,e_dc_maj,dc_min,e_dc_min,dc_pa,e_dc_pa,s_code,separation_tile_centre,noise,gal_lon,gal_lat
2281232,4549,RACS_2211-25A_3687,RACS_2211-25A_3308,RACS_2211-25A,8576,58598.87694,1,333.119252,-26.060231,0.96,1.45,4.701,0.773,1.134,4.701,0.773,1.134,3.931,0.392,31.21,3.51,23.96,2.12,163.61,17.32,0.0,3.51,0.0,2.12,0.0,17.32,S,0.9663,0.382,25.393222,-54.597374
2281233,4549,RACS_2211-25A_3688,RACS_2211-25A_3309,RACS_2211-25A,8576,58598.87694,1,333.116611,-25.692158,0.38,0.7,15.791,1.09,1.94,15.791,1.09,1.94,12.324,0.524,33.78,1.68,23.71,0.86,168.82,5.69,0.0,1.68,0.0,0.86,0.0,5.69,S,0.619,0.51,26.015352,-54.5242
2281234,4549,RACS_2211-25A_3689,RACS_2211-25A_3310,RACS_2211-25A,8576,58598.87694,1,333.106486,-22.30305,0.64,0.77,5.314,0.618,1.069,5.314,0.618,1.069,5.49,0.364,26.37,1.87,22.97,1.42,156.0,20.82,0.0,1.87,0.0,1.42,0.0,20.82,S,2.838,0.368,31.632808,-53.715754
2281235,4549,RACS_2211-25A_3690,RACS_2211-25A_3311,RACS_2211-25A,8576,58598.87694,1,333.104451,-23.39428,0.53,0.59,8.054,0.661,1.253,8.054,0.661,1.253,7.208,0.353,28.41,1.49,24.59,1.13,144.66,14.7,13.48,1.49,0.0,1.13,144.66,14.7,S,1.7534,0.346,29.846347,-53.999838
2281236,4549,RACS_2211-25A_3691,RACS_2211-25A_3312,RACS_2211-25A,8576,58598.87694,1,333.100719,-23.81661,0.82,1.42,5.561,0.755,1.167,5.561,0.755,1.167,4.283,0.358,35.01,3.5,23.18,1.62,159.9,9.98,0.0,3.5,0.0,1.62,0.0,9.98,S,1.3361,0.35,29.147472,-54.100007
2281237,4549,RACS_2211-25A_3692,RACS_2211-25A_3313,RACS_2211-25A,8576,58598.87694,1,333.104796,-25.508738,1.91,2.23,5.742,1.525,1.772,5.742,1.525,1.772,4.493,0.74,31.92,5.85,25.03,3.7,145.46,31.02,19.84,5.85,1.18,3.7,145.46,31.02,S,0.453,0.711,26.321249,-54.47726
2281238,4549,RACS_2211-25A_3693,RACS_2211-25A_3314,RACS_2211-25A,8576,58598.87694,1,333.09911,-25.352419,0.39,0.39,27.317,1.587,2.887,27.317,1.587,2.887,24.336,0.847,27.12,0.97,25.87,0.88,133.67,30.4,10.52,0.97,6.64,0.88,133.67,30.4,S,0.3297,0.826,26.582774,-54.440499
2281239,4549,RACS_2211-25A_3694,RACS_2211-25A_3315,RACS_2211-25A,8576,58598.87694,1,333.099615,-27.314451,0.25,0.24,20.618,0.705,2.067,20.618,0.705,2.067,17.746,0.366,29.35,0.66,24.76,0.47,130.29,5.22,15.38,0.66,0.0,0.47,130.29,5.22,S,2.198,0.356,23.250349,-54.797326
2281240,4549,RACS_2211-25A_3695,RACS_2211-25A_3316,RACS_2211-25A,8576,58598.87694,1,333.093405,-25.690628,0.28,0.27,22.945,0.918,2.298,22.945,0.918,2.298,21.103,0.498,29.04,0.76,23.4,0.5,132.06,4.8,14.78,0.76,0.0,0.5,132.06,4.8,S,0.6092,0.492,26.010843,-54.503396
2281241,4549,RACS_2211-25A_3696,RACS_2211-25A_3317,RACS_2211-25A,8576,58598.87694,2,333.096311,-27.108692,0.08,0.08,51.37,0.617,4.142,81.235,0.852,6.245,45.838,0.33,26.85,0.2,26.1,0.19,84.54,10.05,9.8,0.2,7.44,0.19,84.54,10.05,M,1.9933,0.321,23.601664,-54.761362
